abandon,abandon,abandons,abandoning,abandoned,abandoned
abase,abase,abases,abasing,abased,abased
abash,abash,abashes,abashing,abashed,abashed
abate,abate,abates,abating,abated,abated
abbreviate,abbreviate,abbreviates,abbreviating,abbreviated,abbreviated
abdicate,abdicate,abdicates,abdicating,abdicated,abdicated
abduct,abduct,abducts,abducting,abducted,abducted
abet,abet,abets,abetting,abetted,abetted
abhor,abhor,abhors,abhorring,abhorred,abhorred
abide,abide,abides,abiding,abided;abode,abided;abode
abirritate,abirritate,abirritates,abirritating,abirritated,abirritated
abjure,abjure,abjures,abjuring,abjured,abjured
ablate,ablate,ablates,ablating,ablated,ablated
abnegate,abnegate,abnegates,abnegating,abnegated,abnegated
abolish,abolish,abolishes,abolishing,abolished,abolished
abominate,abominate,abominates,abominating,abominated,abominated
abort,abort,aborts,aborting,aborted,aborted
abound,abound,abounds,abounding,abounded,abounded
about-ship,about-ship,about-ships,about-shipping,about-shipped,about-shipped
about-turn,about-turn,about-turns,about-turning,about-turned,about-turned
aboutface,aboutface,aboutfaces,aboutfacing,aboutfaced,aboutfaced
abrade,abrade,abrades,abrading,abraded,abraded
abreact,abreact,abreacts,abreacting,abreacted,abreacted
abridge,abridge,abridges,abridging,abridged,abridged
abrogate,abrogate,abrogates,abrogating,abrogated,abrogated
abscess,abscess,abscesses,abscessing,abscessed,abscessed
abscise,abscise,abscises,abscising,abscised,abscised
abscond,abscond,absconds,absconding,absconded,absconded
abseil,abseil,abseils,abseiling,abseiled,abseiled
absent,absent,absents,absenting,absented,absented
absolve,absolve,absolves,absolving,absolved,absolved
absorb,absorb,absorbs,absorbing,absorbed,absorbed
absquatulate,absquatulate,absquatulates,absquatulating,absquatulated,absquatulated
abstain,abstain,abstains,abstaining,abstained,abstained
abstract,abstract,abstracts,abstracting,abstracted,abstracted
abuse,abuse,abuses,abusing,abused,abused
abut,abut,abuts,abutting,abutted,abutted
abye,abye,abys,abying,abought,abought
accede,accede,accedes,acceding,acceded,acceded
accelerate,accelerate,accelerates,accelerating,accelerated,accelerated
accent,accent,accents,accenting,accented,accented
accentuate,accentuate,accentuates,accentuating,accentuated,accentuated
accept,accept,accepts,accepting,accepted,accepted
access,access,accesses,accessing,accessed,accessed
accession,accession,accessions,accessioning,accessioned,accessioned
accessorise,accessorise,accessorises,accessorising,accessorised,accessorised
accessorize,accessorize,accessorizes,accessorizing,accessorized,accessorized
acclaim,acclaim,acclaims,acclaiming,acclaimed,acclaimed
acclimate,acclimate,acclimates,acclimating,acclimated,acclimated
acclimatise,acclimatise,acclimatises,acclimatising,acclimatised,acclimatised
acclimatize,acclimatize,acclimatizes,acclimatizing,acclimatized,acclimatized
accommodate,accommodate,accommodates,accommodating,accommodated,accommodated
accompany,accompany,accompanies,accompanying,accompanied,accompanied
accomplish,accomplish,accomplishes,accomplishing,accomplished,accomplished
accord,accord,accords,according,accorded,accorded
accost,accost,accosts,accosting,accosted,accosted
account,account,accounts,accounting,accounted,accounted
accoutre,accoutre,accoutres,accoutring,accoutred,accoutred
accredit,accredit,accredits,accrediting,accredited,accredited
accrete,accrete,accretes,accreting,accreted,accreted
accrue,accrue,accrues,accruing,accrued,accrued
acculturate,acculturate,acculturates,acculturating,acculturated,acculturated
accumulate,accumulate,accumulates,accumulating,accumulated,accumulated
accuse,accuse,accuses,accusing,accused,accused
accustom,accustom,accustoms,accustoming,accustomed,accustomed
ace,ace,aces,acing,aced,aced
acerbate,acerbate,acerbates,acerbating,acerbated,acerbated
acetify,acetify,acetifies,acetifying,acetified,acetified
acetylate,acetylate,acetylates,acetylating,acetylated,acetylated
ache,ache,aches,aching,ached,ached
achieve,achieve,achieves,achieving,achieved,achieved
achromatize,achromatize,achromatizes,achromatizing,achromatized,achromatized
acidify,acidify,acidifies,acidifying,acidified,acidified
acidulate,acidulate,acidulates,acidulating,acidulated,acidulated
acierate,acierate,acierates,acierating,acierated,acierated
acknowledge,acknowledge,acknowledges,acknowledging,acknowledged,acknowledged
acquaint,acquaint,acquaints,acquainting,acquainted,acquainted
acquiesce,acquiesce,acquiesces,acquiescing,acquiesced,acquiesced
acquire,acquire,acquires,acquiring,acquired,acquired
acquit,acquit,acquits,acquitting,acquitted,acquitted
act,act,acts,acting,acted,acted
action,action,actions,actioning,actioned,actioned
activate,activate,activates,activating,activated,activated
actualise,actualise,actualises,actualising,actualised,actualised
actualize,actualize,actualizes,actualizing,actualized,actualized
actuate,actuate,actuates,actuating,actuated,actuated
acuminate,acuminate,acuminates,acuminating,acuminated,acuminated
ad-lib,ad-lib,ad-libs,ad-libbing,ad-libbed,ad-libbed
adapt,adapt,adapts,adapting,adapted,adapted
add,add,adds,adding,added,added
addict,addict,addicts,addicting,addicted,addicted
addle,addle,addles,addling,addled,addled
address,address,addresses,addressing,addressed,addressed
adduce,adduce,adduces,adducing,adduced,adduced
adduct,adduct,adducts,adducting,adducted,adducted
adhere,adhere,adheres,adhering,adhered,adhered
adhibit,adhibit,adhibits,adhibiting,adhibited,adhibited
adjoin,adjoin,adjoins,adjoining,adjoined,adjoined
adjourn,adjourn,adjourns,adjourning,adjourned,adjourned
adjudge,adjudge,adjudges,adjudging,adjudged,adjudged
adjudicate,adjudicate,adjudicates,adjudicating,adjudicated,adjudicated
adjure,adjure,adjures,adjuring,adjured,adjured
adjust,adjust,adjusts,adjusting,adjusted,adjusted
adlib,adlib,adlibs,adlibbing,adlibbed,adlibbed
admeasure,admeasure,admeasures,admeasuring,admeasured,admeasured
administer,administer,administers,administering,administered,administered
administrate,administrate,administrates,administrating,administrated,administrated
admire,admire,admires,admiring,admired,admired
admit,admit,admits,admitting,admitted,admitted
admix,admix,admixes,admixing,admixed,admixed
admonish,admonish,admonishes,admonishing,admonished,admonished
adopt,adopt,adopts,adopting,adopted,adopted
adore,adore,adores,adoring,adored,adored
adorn,adorn,adorns,adorning,adorned,adorned
adsorb,adsorb,adsorbs,adsorbing,adsorbed,adsorbed
adulate,adulate,adulates,adulating,adulated,adulated
adulterate,adulterate,adulterates,adulterating,adulterated,adulterated
adumbrate,adumbrate,adumbrates,adumbrating,adumbrated,adumbrated
advance,advance,advances,advancing,advanced,advanced
advantage,advantage,advantages,advantaging,advantaged,advantaged
adventure,adventure,adventures,adventuring,adventured,adventured
advert,advert,adverts,adverting,adverted,adverted
advertise,advertise,advertises,advertising,advertised,advertised
advertize,advertize,advertizes,advertizing,advertized,advertized
advise,advise,advises,advising,advised,advised
advocate,advocate,advocates,advocating,advocated,advocated
aerate,aerate,aerates,aerating,aerated,aerated
aerify,aerify,aerifies,aerifying,aerified,aerified
aestivate,aestivate,aestivates,aestivating,aestivated,aestivated
affect,affect,affects,affecting,affected,affected
affiance,affiance,affiances,affiancing,affianced,affianced
affiliate,affiliate,affiliates,affiliating,affiliated,affiliated
affirm,affirm,affirms,affirming,affirmed,affirmed
affix,affix,affixes,affixing,affixed,affixed
afflict,afflict,afflicts,afflicting,afflicted,afflicted
afford,afford,affords,affording,afforded,afforded
afforest,afforest,afforests,afforesting,afforested,afforested
affranchise,affranchise,affranchises,affranchising,affranchised,affranchised
affray,affray,affrays,affraying,affrayed,affrayed
affright,affright,affrights,affrighting,affrighted,affrighted
affront,affront,affronts,affronting,affronted,affronted
africanize,africanize,africanizes,africanizing,africanized,africanized
afrikanerize,afrikanerize,afrikanerizes,afrikanerizing,afrikanerized,afrikanerized
age,age,ages,aging,aged,aged
agglomerate,agglomerate,agglomerates,agglomerating,agglomerated,agglomerated
agglutinate,agglutinate,agglutinates,agglutinating,agglutinated,agglutinated
aggrade,aggrade,aggrades,aggrading,aggraded,aggraded
aggrandize,aggrandize,aggrandizes,aggrandizing,aggrandized,aggrandized
aggravate,aggravate,aggravates,aggravating,aggravated,aggravated
aggregate,aggregate,aggregates,aggregating,aggregated,aggregated
aggress,aggress,aggresses,aggressing,aggressed,aggressed
aggrieve,aggrieve,aggrieves,aggrieving,aggrieved,aggrieved
agist,agist,agists,agisting,agisted,agisted
agitate,agitate,agitates,agitating,agitated,agitated
agonise,agonise,agonises,agonising,agonised,agonised
agonize,agonize,agonizes,agonizing,agonized,agonized
agree,agree,agrees,agreeing,agreed,agreed
aid,aid,aids,aiding,aided,aided
ail,ail,ails,ailing,ailed,ailed
aim,aim,aims,aiming,aimed,aimed
air,air,airs,airing,aired,aired
air-dash,air-dash,air-dashes,air-dashing,air-dashed,air-dashed
air-dry,air-dry,air-dries,air-drying,air-dried,air-dried
air-kiss,air-kiss,air-kisses,air-kissing,air-kissed,air-kissed
airbrush,airbrush,airbrushes,airbrushing,airbrushed,airbrushed
aircondition,aircondition,airconditions,airconditioning,airconditioned,airconditioned
aircool,aircool,aircools,aircooling,aircooled,aircooled
airdash,airdash,airdashes,airdashing,airdashed,airdashed
airdrop,airdrop,airdrops,airdropping,airdropped,airdropped
airdry,airdry,airdries,airdrying,airdried,airdried
airfreight,airfreight,airfreights,airfreighting,airfreighted,airfreighted
airkiss,airkiss,airkisses,airkissing,airkissed,airkissed
airlift,airlift,airlifts,airlifting,airlifted,airlifted
airmail,airmail,airmails,airmailing,airmailed,airmailed
alarm,alarm,alarms,alarming,alarmed,alarmed
albumenize,albumenize,albumenizes,albumenizing,albumenized,albumenized
alchemize,alchemize,alchemizes,alchemizing,alchemized,alchemized
alcoholize,alcoholize,alcoholizes,alcoholizing,alcoholized,alcoholized
alert,alert,alerts,alerting,alerted,alerted
alibi,alibi,alibis,alibiing,alibied,alibied
alien,alien,aliens,aliening,aliened,aliened
alienate,alienate,alienates,alienating,alienated,alienated
alight,alight,alights,alighting,alighted;alit,alighted;alit
align,align,aligns,aligning,aligned,aligned
aliment,aliment,aliments,alimenting,alimented,alimented
aline,aline,alines,alining,alined,alined
alkalify,alkalify,alkalifies,alkalifying,alkalified,alkalified
alkalize,alkalize,alkalizes,alkalizing,alkalized,alkalized
allay,allay,allays,allaying,allayed,allayed
allege,allege,alleges,alleging,alleged,alleged
allegorize,allegorize,allegorizes,allegorizing,allegorized,allegorized
alleviate,alleviate,alleviates,alleviating,alleviated,alleviated
alliterate,alliterate,alliterates,alliterating,alliterated,alliterated
allocate,allocate,allocates,allocating,allocated,allocated
allot,allot,allots,allotting,allotted,allotted
allow,allow,allows,allowing,allowed,allowed
allowance,allowance,allowances,allowancing,allowanced,allowanced
alloy,alloy,alloys,alloying,alloyed,alloyed
allude,allude,alludes,alluding,alluded,alluded
allure,allure,allures,alluring,allured,allured
ally,ally,allies,allying,allied,allied
alpha-test,alpha-test,alpha-tests,alpha-testing,alpha-tested,alpha-tested
alphabetise,alphabetise,alphabetises,alphabetising,alphabetised,alphabetised
alphabetize,alphabetize,alphabetizes,alphabetizing,alphabetized,alphabetized
alphatest,alphatest,alphatests,alphatesting,alphatested,alphatested
alter,alter,alters,altering,altered,altered
altercate,altercate,altercates,altercating,altercated,altercated
alternate,alternate,alternates,alternating,alternated,alternated
aluminize,aluminize,aluminizes,aluminizing,aluminized,aluminized
amalgamate,amalgamate,amalgamates,amalgamating,amalgamated,amalgamated
amass,amass,amasses,amassing,amassed,amassed
amaze,amaze,amazes,amazing,amazed,amazed
amble,amble,ambles,ambling,ambled,ambled
ambulate,ambulate,ambulates,ambulating,ambulated,ambulated
ambuscade,ambuscade,ambuscades,ambuscading,ambuscaded,ambuscaded
ambush,ambush,ambushes,ambushing,ambushed,ambushed
